id,question,expected,predicted,confidence,yes_prob,no_prob,is_uncertain,correct
3128,"Consider the following premises: Linda is a politician. If Linda were a politician, then Linda is an artist. Can we infer the following from them? Answer yes or no: Linda is an artist.",yes,yes,0.999999999986112,0.999999999986112,1.3887943864771146e-11,False,True
2820,"Consider the following premises: There is at least one x for which x will play tennis and x will go running. Can we infer the following from them? Answer yes or no: For all x, x will not go running.",no,no,1.0,0.0,1.0,False,True
3555,"Consider the following premises: For all x, neither x will make tea nor x is a cashier. Can we infer the following from them? Answer yes or no: For all x, x will work.",no,no,1.0,0.0,1.0,False,True
3398,Consider the following premises: Sarah is writing a letter and it is cloudy. Can we infer the following from them? Answer yes or no: Michael is not climbing a mountain.,no,no,1.0,0.0,1.0,False,True
1724,"Consider the following premises: For all y_1, if y_1 were a cashier, then y_1 is listening to a song. There is at least one y_1 for which if y_1 listens to a song, then y_1 is a cashier. Can we infer the following from them? Answer yes or no: There is at least one y_1 for which y_1 will listen to a song.",no,yes,0.9968273169336632,0.9968273169336632,0.0031726830663368548,False,False
4474,"Consider the following premises: For all y_3, y_3 is not a soldier. For all y_3, y_3 is a soldier or y_3 will cook. Can we infer the following from them? Answer yes or no: For all y_3, y_3 will cook.",yes,yes,1.0,1.0,0.0,False,True
2382,"Consider the following premises: There is no u for which u is a sailor. For all u, if u were a sailor, then u is reading a book. Can we infer the following from them? Answer yes or no: There is no u for which u will read a book.",no,no,0.99992515377411,7.484622589006849e-05,0.99992515377411,False,True
1313,"Consider the following premises: There is at least one y for which the claim that y will play a game and the claim that y is a server cannot both be true. Can we infer the following from them? Answer yes or no: For all y, neither y will not play a game nor y is not a server.",no,no,1.0,0.0,1.0,False,True
1007,Consider the following premises: Linda is driving a car. It is raining. Can we infer the following from them? Answer yes or no: Charles is not a soldier.,no,no,1.0,0.0,1.0,False,True
3903,"Consider the following premises: For all u_4, if u_4 takes a plane, then u_4 is making tea. For all u_4, if u_4 makes tea, then u_4 is taking a plane. Can we infer the following from them? Answer yes or no: For all u_4, u_4 will make tea.",no,no,1.0,0.0,1.0,False,True
